,id_nuts,area,lat,lon
158,DE916,0.152,51.86239,10.39833
159,DE917,0.089,52.25484,10.89096
160,DE918,0.15,51.73457,9.8634
161,DE919,0.063,51.66075,10.36202
162,DE91A,0.06,52.30054,10.26443
163,DE91B,0.077,52.13757,10.66344
164,DE922,0.257,52.75189,8.69094
165,DE923,0.11,52.07854,9.42318
166,DE925,0.163,52.08252,9.94288
167,DE926,0.082,51.85111,9.57524
168,DE927,0.21,52.62248,9.12552
169,DE928,0.091,52.27634,9.20766
170,DE929,0.315,52.41962,9.75193
171,DE931,0.201,52.7376,10.09951
172,DE932,0.236,53.61664,8.80818
173,DE933,0.203,53.32866,9.98201
174,DE934,0.155,53.01367,11.14991
175,DE935,0.175,53.20692,10.55936
176,DE936,0.1,53.26427,8.77076
177,DE937,0.27,53.26153,9.29621
178,DE938,0.267,52.93971,9.75725
179,DE939,0.188,53.61855,9.38219
180,DE93A,0.166,52.96278,10.57009
181,DE93B,0.092,52.9659,9.18819
182,DE941,0.004,53.05892,8.66791
183,DE942,0.004,53.34519,7.19036
184,DE943,0.004,53.14999,8.24809
185,DE944,0.006,52.29322,8.03379
186,DE945,0.006,53.58259,8.04863
187,DE946,0.109,53.22134,8.01926
188,DE947,0.15,53.48017,7.36752
189,DE948,0.177,52.909,7.92503
190,DE949,0.389,52.76011,7.41154
191,DE94A,0.061,53.49963,7.99764
192,DE94B,0.137,52.46752,7.04793
193,DE94C,0.15,53.23138,7.51011
194,DE94D,0.131,53.00126,8.37585
195,DE94E,0.302,52.38994,8.06109
196,DE94F,0.086,52.70206,8.25655
197,DE94G,0.122,53.35247,8.38157
198,DE94H,0.098,53.55365,7.72933
199,DEA11,0.01,51.2694,6.79204
200,DEA12,0.022,51.41338,6.7466
201,DEA13,0.029,51.44097,7.00917
202,DEA14,0.011,51.35078,6.61313
203,DEA15,0.014,51.16366,6.41937
204,DEA16,0.009,51.41324,6.86077
205,DEA17,0.01,51.5104,6.84744
206,DEA18,0.005,51.17046,7.22938
207,DEA19,0.007,51.15958,7.0697
208,DEA1A,0.021,51.23135,7.1788
209,DEA1B,0.202,51.64018,6.272
210,DEA1C,0.07,51.24966,6.963
211,DEA1D,0.079,51.16202,6.65036
212,DEA1E,0.081,51.29022,6.35043
213,DEA1F,0.119,51.62248,6.66818
214,DEA22,0.001,50.68248,7.1477
215,DEA23,0.047,50.96104,6.97735
216,DEA24,0.004,51.05841,6.98551
217,DEA26,0.114,50.83627,6.44308
218,DEA27,0.088,50.91557,6.73349
219,DEA28,0.188,50.53443,6.64186
220,DEA29,0.089,51.05417,6.17702
221,DEA2A,0.116,51.03377,7.52584
222,DEA2B,0.068,51.02461,7.19708
223,DEA2C,0.16,50.7655,7.21857
224,DEA2D,0.084,50.726,6.22107
225,DEA31,0.011,51.56348,6.915
226,DEA32,0.005,51.52079,7.09276
227,DEA33,0.017,51.95823,7.60991
228,DEA34,0.195,51.96808,6.92577
229,DEA35,0.146,51.85502,7.39374
230,DEA36,0.107,51.66048,7.14906
231,DEA37,0.258,52.21222,7.59282
232,DEA38,0.188,51.87763,7.94555
233,DEA41,0.03,52.01309,8.52565
234,DEA42,0.124,51.91176,8.38616
235,DEA43,0.06,52.16291,8.62478
236,DEA44,0.158,51.66787,9.17663
237,DEA45,0.186,51.97598,8.96204
238,DEA46,0.168,52.35464,8.73111
239,DEA47,0.137,51.66345,8.7134
240,DEA51,0.015,51.48329,7.21848
241,DEA52,0.017,51.50142,7.41315
242,DEA53,0.009,51.36089,7.52356
243,DEA54,0.019,51.673,7.81926
244,DEA55,0.003,51.53022,7.19274
245,DEA56,0.07,51.34931,7.32839
246,CH051,0.057,46.96743,9.05018
247,CH052,0.019,47.73794,8.63245
248,CH053,0.036,47.36373,9.40207
249,CH054,0.005,47.2869,9.43569
250,CH055,0.26,47.22702,9.26466
251,CH056,0.846,46.65431,9.61199
252,CH057,0.131,47.55273,9.04806
253,CH061,0.154,47.03654,8.1267
254,CH062,0.148,46.77395,8.6369
255,CH063,0.102,47.06925,8.76534
256,CH064,0.03,46.84971,8.2156
257,CH065,0.04,46.91201,8.399
258,CH066,0.022,47.1691,8.51347
259,CH070,0.336,46.28683,8.83181
260,DE111,0.016,48.77447,9.18948
261,DE112,0.08,48.68069,8.9373
262,DE113,0.074,48.66196,9.35319
263,DE114,0.073,48.67124,9.72306
264,DE115,0.095,48.9383,9.12185
265,DE116,0.097,48.89895,9.47963
266,DE117,0.008,49.13494,9.16884
267,DE118,0.134,49.17732,9.16337
268,DE119,0.086,49.27978,9.57114
269,DE11A,0.199,49.16289,9.90204
270,DE11B,0.163,49.56509,9.70964
271,DE11C,0.081,48.64777,10.21201
272,DE11D,0.204,48.87594,10.05859
273,DE121,0.013,48.75971,8.203
274,DE122,0.013,49.00799,8.38571
275,DE123,0.16,49.06633,8.57202
276,DE124,0.091,48.7696,8.23421
277,DE125,0.001,49.41494,8.64884
278,DE126,0.018,49.49075,8.5084
279,DE127,0.128,49.47223,9.29806
280,DE128,0.141,49.36842,8.78825
281,DE129,0.001,48.8407,8.73809
282,DE12A,0.096,48.69417,8.61435
283,DE12B,0.055,48.90268,8.78114
284,DE12C,0.112,48.48279,8.48057
285,DE131,0.018,47.9855,7.8034
286,DE132,0.154,47.91952,7.87706
287,DE133,0.092,48.13707,7.89916
288,DE134,0.215,48.41011,8.03298
289,DE135,0.11,48.23921,8.53034
290,DE136,0.121,47.99662,8.40763
291,DE137,0.086,48.00873,8.79227
292,DE138,0.101,47.79043,8.91247
293,DE139,0.086,47.68641,7.77144
294,DE13A,0.159,47.70214,8.25473
295,DE141,0.13,48.42192,9.33856
296,DE142,0.061,48.47946,8.96975
297,DE143,0.098,48.27301,8.93155
298,DE144,0.008,48.38955,9.95803
299,DE145,0.2,48.3963,9.82052
300,DE146,0.154,48.10643,9.73934
